testCaseFunc,environment,term,location, locationId, fromDate, toDate, date, pos, productId, guests, amenity, currency, page, perPage, adults, child, email, familyName, firstName, cardNo, cardMonth, cardYear, cardType, ccSecCode, amount, notes,telnumber, ccAddress, ccCountry, ccState, ccCity
testLocationSearchForAGivenLocation,production,Rome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testLocationSearchForASingleLetter,production,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testLocationSearchInvalidLocation,production,hello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testLocationSearchBlankLocation,production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testLocationCheckWithCompleteLocationName,production,,Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testLocationCheckIncompleteLocation,production,,Par,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testLocationCheckBlankLocation,production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testBuildSearchPageValidParameters,production,,,21980,2015-08-10,2015-08-13,,a502d2c65c2f75d3,,2,true,USD,1,2,,,,,,,,,,,,,,,,,
testBuildSearchPageNegativeDates,production,,,21980,2015-08-10,2015-08-08,,a502d2c65c2f75d3,,2,ture,USD,1,2,,,,,,,,,,,,,,,,,
testBuildSearchPagePastDates,production,,,21980,2014-06-10,2014-06-14,,a502d2c65c2f75d3,,2,true,USD,1,2,,,,,,,,,,,,,,,,,
testBuildSearchPagePastFromDate,production,,,21980,2014-06-10,2015-06-14,,a502d2c65c2f75d3,,2,true,USD,1,2,,,,,,,,,,,,,,,,,
testBuildSearchPagePastToDate,production,,,21980,2015-08-10,2014-06-14,,a502d2c65c2f75d3,,2,true,USD,1,2,,,,,,,,,,,,,,,,,
testBuildSearchPageInvalidPOS,production,,,21980,2015-08-10,2015-08-14,,12345,,2,ture,USD,1,2,,,,,,,,,,,,,,,,,
testBuildSearchPageInvalidLocationID,production,,,1234567890,2015-08-10,2015-08-14,,a502d2c65c2f75d3,,2,true,USD,1,2,,,,,,,,,,,,,,,,,
testBuildSearchPageTooManyGuests,production,,,21980,2015-08-10,2015-08-14,,a502d2c65c2f75d3,,20,true,USD,1,2,,,,,,,,,,,,,,,,,
testBuildSearchPageNegativeGuests,production,,,21980,2015-08-10,2015-08-14,,a502d2c65c2f75d3,,-2,true,USD,1,2,,,,,,,,,,,,,,,,,
testBuildSearchPageZeroGuests,production,,,21980,2015-08-10,2015-08-14,,a502d2c65c2f75d3,,0,true,USD,1,2,,,,,,,,,,,,,,,,,
testBuildSearchPageInvalidDateFormat,production,,,21980,20140810,20140814,,a502d2c65c2f75d3,,2,true,USD,1,2,,,,,,,,,,,,,,,,,
testBuildSearchPageInvalidCurrency,production,,,21980,2015-08-10,2015-08-14,,a502d2c65c2f75d3,,2,true,hello,1,2,,,,,,,,,,,,,,,,,
testBuildSearchPageEURCurrency,production,,,21980,2015-08-10,2015-08-14,,a502d2c65c2f75d3,,2,true,EUR,1,2,,,,,,,,,,,,,,,,,
testBuildPropertyDetailPageInvalidProductID,production,,,,2015-08-10,2015-08-13,,a502d2c65c2f75d3,1234567890,,,USD,,,,,,,,,,,,,,,,,,,
testBuildPropertyDetailPagePastDates,production,,,,2014-05-10,2014-05-13,,a502d2c65c2f75d3,15182,,,USD,,,,,,,,,,,,,,,,,,,
testBuildPropertyDetailPageWithNegativeDateRange,production,,,,2015-08-10,2015-08-08,,a502d2c65c2f75d3,15182,,,USD,,,,,,,,,,,,,,,,,,,
testBuildPropertyDetailPageWithPOSandUnrelatedPM,production,,,,2015-08-10,2015-08-13,,834a55a7680c79fe,15182,,,USD,,,,,,,,,,,,,,,,,,,
testBuildPropertyDetailPageValidInformation,production,,,,2015-08-10,2015-08-13,,a502d2c65c2f75d3,15182,,,USD,,,,,,,,,,,,,,,,,,,
testBuildPropertyDetailInvalidDateFormat,production,,,,20140810,20140813,,a502d2c65c2f75d3,15182,,,USD,,,,,,,,,,,,,,,,,,,
testBuildPropertyDetailPageInvalidCurrency,production,,,,2015-08-10,2015-08-13,,a502d2c65c2f75d3,15182,,,hello,,,,,,,,,,,,,,,,,,,
testPriceInfoPastDates,production,,,,2014-05-10,2014-05-13,,a502d2c65c2f75d3,15182,,,USD,,,2,0,,,,,,,,,,,,,,,
testPriceFutureFromDatePastToDate,production,,,,2015-08-10,2015-08-08,,a502d2c65c2f75d3,15182,,,USD,,,2,0,,,,,,,,,,,,,,,
testPriceUnrelatedPOSID,production,,,,2015-08-10,2015-08-13,,834a55a7680c79fe,15180,,,USD,,,2,0,,,,,,,,,,,,,,,
testPriceInfoValidInformation,production,,,,2015-08-10,2015-08-13,,a502d2c65c2f75d3,15180,,,USD,,,2,0,,,,,,,,,,,,,,,
testPriceInfoInvalidCurrency,production,,,,2015-08-10,2015-08-13,,a502d2c65c2f75d3,15180,,,hello,,,2,0,,,,,,,,,,,,,,,
testPriceInfoInvalidProductID,production,,,,2015-08-10,2015-08-13,,a502d2c65c2f75d3,1234567890,,,USD,,,2,0,,,,,,,,,,,,,,,
testPriceInfoZeroAdults,production,,,,2015-08-10,2015-08-13,,a502d2c65c2f75d3,15180,,,USD,,,0,0,,,,,,,,,,,,,,,
testPriceInfoNegativeAdults,production,,,,2015-08-10,2015-08-14,,a502d2c65c2f75d3,15182,,,USD,,,-2,0,,,,,,,,,,,,,,,
testPriceInfoTooManyAdults,production,,,,2015-08-10,2015-08-13,,a502d2c65c2f75d3,15180,,,USD,,,30,0,,,,,,,,,,,,,,,
testPriceInfoNegativeChildren,production,,,,2015-08-10,2015-08-13,,a502d2c65c2f75d3,15180,,,USD,,,2,-2,,,,,,,,,,,,,,,
testPriceInfoTooManyChildren,production,,,,2015-08-10,2015-08-13,,a502d2c65c2f75d3,15180,,,USD,,,2,20,,,,,,,,,,,,,,,
testAvailabilityCalendarValidInformation,production,,,,,,2015-08-10,a502d2c65c2f75d3,15182,,,,,,,,,,,,,,,,,,,,,,
testAvailabilityCalendarPastDate,production,,,,,,2014-05-10,a502d2c65c2f75d3,15182,,,,,,,,,,,,,,,,,,,,,,
testAvailabilityCalendarUnrelatedPOSID,production,,,,,,2015-08-10,834a55a7680c79fe,15182,,,,,,,,,,,,,,,,,,,,,,
testAvailabilityCalendarVeryFarAwayDate,production,,,,,,2019-08-10,a502d2c65c2f75d3,15182,,,,,,,,,,,,,,,,,,,,,,
testAvailabilityCalendarInvalidProductID,production,,,,,,2015-08-10,a502d2c65c2f75d3,1234567890,,,,,,,,,,,,,,,,,,,,,,
testAvailabilityCalendarInvalidDateFormat,production,,,,,,21040810,a502d2c65c2f75d3,15182,,,,,,,,,,,,,,,,,,,,,,
testAvailabilityCalendarInvalidPOS,production,,,,,,2015-08-10,12345,15182,,,,,,,,,,,,,,,,,,,,,,
testAvailabilityPeriodVailidInputs,uat,,,,,,,834a55a7680c79fe,3602,,,,,,,,,,,,,,,,,,,,,,
testAvailabilityPeriodInvalidProductId,uat,,,,,,,834a55a7680c79fe,12345678,,,,,,,,,,,,,,,,,,,,,,
testAvailabilityPeriodInvalidPOS,uat,,,,,,,12345,3602,,,,,,,,,,,,,,,,,,,,,,
testWeeklyPricesVailidInputs,uat,,,,2014-10-06,2014-10-14,,834a55a7680c79fe,90629,,,EUR,,,,,,,,,,,,,,,,,,,
testWeeklyPricesInvalidPOS,uat,,,,2014-10-06,2014-10-14,,12345,90629,,,EUR,,,,,,,,,,,,,,,,,,,
testWeeklyPricesInvalidProductId,uat,,,,2014-10-06,2014-10-14,,834a55a7680c79fe,1234567890,,,EUR,,,,,,,,,,,,,,,,,,,
testWeeklyPricesInvalidDateFormat,uat,,,,23409,2014-10-14,,834a55a7680c79fe,90629,,,EUR,,,,,,,,,,,,,,,,,,,
testWeeklyPricesInvalidDateRange,uat,,,,2014-10-28,2014-10-14,,834a55a7680c79fe,90629,,,EUR,,,,,,,,,,,,,,,,,,,
testWeeklyPricesInvalidCurrency,uat,,,,2014-10-06,2014-10-14,,834a55a7680c79fe,90629,,,abc,,,,,,,,,,,,,,,,,,,
testPropertyInquiryVaildInfo,uat,,,,2014-10-06,2014-10-14,,fa8f7d6c8f06968a,331129,,,,,,2,0,chirayu@mybookingpal.com,test,bookingpal,,,,,,,testing,1112223333,,,,
testPropertyInquiryWithInvalidPOS,uat,,,,2014-10-06,2014-10-14,,12345,331129,,,,,,2,0,chirayu@mybookingpal.com,test,bookingpal,,,,,,,testing,1112223333,,,,
testPropertyInquiryWithAbsentPOS,uat,,,,2014-10-06,2014-10-14,,,331129,,,,,,2,0,chirayu@mybookingpal.com,test,bookingpal,,,,,,,testing,1112223333,,,,
testPropertyInquiryWithInvalidProductId,uat,,,,2014-10-06,2014-10-14,,fa8f7d6c8f06968a,1234567890,,,,,,2,0,chirayu@mybookingpal.com,test,bookingpal,,,,,,,testing,1112223333,,,,
testPropertyInquiryWithAbsentProductId,uat,,,,2014-10-06,2014-10-14,,fa8f7d6c8f06968a,,,,,,,2,0,chirayu@mybookingpal.com,test,bookingpal,,,,,,,testing,1112223333,,,,
testPropertyInquiryWithInvalidFromDateFormat,uat,,,,20141006,2014-10-14,,fa8f7d6c8f06968a,331129,,,,,,2,0,chirayu@mybookingpal.com,test,bookingpal,,,,,,,testing,1112223333,,,,
testPropertyInquiryWithInvalidToDateFormat,uat,,,,2014-10-06,201410-14,,fa8f7d6c8f06968a,331129,,,,,,2,0,chirayu@mybookingpal.com,test,bookingpal,,,,,,,testing,1112223333,,,,
testPropertyInquiryWithAbsentFromDate,uat,,,,,2014-10-14,,fa8f7d6c8f06968a,331129,,,,,,2,0,chirayu@mybookingpal.com,test,bookingpal,,,,,,,testing,1112223333,,,,
testPropertyInquiryWithAbsentToDate,uat,,,,2014-10-06,,,fa8f7d6c8f06968a,331129,,,,,,2,0,chirayu@mybookingpal.com,test,bookingpal,,,,,,,testing,1112223333,,,,
testPropertyInquiryWithPastDates,uat,,,,2014-05-06,2014-05-14,,fa8f7d6c8f06968a,331129,,,,,,2,0,chirayu@mybookingpal.com,test,bookingpal,,,,,,,testing,1112223333,,,,
testPropertyInquiryWithNegativeDateRange,uat,,,,2014-10-28,2014-10-14,,fa8f7d6c8f06968a,331129,,,,,,2,0,chirayu@mybookingpal.com,test,bookingpal,,,,,,,testing,1112223333,,,,
